CID;Tipo;BTS Name;Direccion;Latitud;Gra;Min;Seg;Longitud;Gra;Min;Seg;Altura;Vector;Tilt;Region
76;GSM;BOG.Santa Sofia_C;Carrera 27 No.77 - 70;4,668650000;4;40;7,14;-74,065100000;-74;3;54,36;25;230;6;Oriente
81;GSM;BOG.Suba-2_1;Carrera 95 No. 125 - 59;4,726350000;4;43;34,86;-74,093300000;-74;5;35,88;21;30;5;Oriente
82;GSM;BOG.Suba-2_2;Carrera 95 No. 125 - 59;4,726350000;4;43;34,86;-74,093300000;-74;5;35,88;21;105;5;Oriente
83;GSM;BOG.Suba-2_3;Carrera 95 No. 125 - 59;4,726350000;4;43;34,86;-74,093300000;-74;5;35,88;21;260;5;Oriente
84;GSM;BOG.Suba-2_A;Carrera 95 No. 125 - 59;4,726350000;4;43;34,86;-74,093300000;-74;5;35,88;21;30;2;Oriente
85;GSM;BOG.Suba-2_B;Carrera 95 No. 125 - 59;4,726350000;4;43;34,86;-74,093300000;-74;5;35,88;21;105;4;Oriente
86;GSM;BOG.Suba-2_C;Carrera 95 No. 125 - 59;4,726350000;4;43;34,86;-74,093300000;-74;5;35,88;21;260;2;Oriente
91;GSM;BOG.Multicentro-1_1;Transversal 14 No. 117 - 42;4,697163000;4;41;49,79;-74,040293000;-74;2;25,05;4;0;7;Oriente
92;GSM;BOG.Multicentro-1_2;Transversal 14 No. 117 - 42;4,697163000;4;41;49,79;-74,040293000;-74;2;25,05;4;105;4;Oriente
93;GSM;BOG.Multicentro-1_3;Transversal 14 No. 117 - 42;4,697163000;4;41;49,79;-74,040293000;-74;2;25,05;4;268;4;Oriente
94;GSM;BOG.Multicentro-1_A;Transversal 14 No. 117 - 42;4,697163000;4;41;49,79;-74,040293000;-74;2;25,05;4;0;6;Oriente
95;GSM;BOG.Multicentro-1_B;Transversal 14 No. 117 - 42;4,697163000;4;41;49,79;-74,040293000;-74;2;25,05;4;105;3;Oriente
96;GSM;BOG.Multicentro-1_C;Transversal 14 No. 117 - 42;4,697163000;4;41;49,79;-74,040293000;-74;2;25,05;4;268;3;Oriente
101;GSM;BOG.Pedregal_1;Carrera 9A. no. 107 - 09;4,687620000;4;41;15,43;-74,038900000;-74;2;20,04;20;20;7;Oriente
102;GSM;BOG.Pedregal_2;Carrera 9A. no. 107 - 09;4,687620000;4;41;15,43;-74,038900000;-74;2;20,04;20;105;7;Oriente
103;GSM;BOG.Pedregal_3;Carrera 9A. no. 107 - 09;4,687620000;4;41;15,43;-74,038900000;-74;2;20,04;29;280;7;Oriente
104;GSM;BOG.Pedregal_A;Carrera 9A. no. 107 - 09;4,687620000;4;41;15,43;-74,038900000;-74;2;20,04;20;20;6;Oriente
105;GSM;BOG.Pedregal_B;Carrera 9A. no. 107 - 09;4,687620000;4;41;15,43;-74,038900000;-74;2;20,04;25;105;6;Oriente
106;GSM;BOG.Pedregal_C;Carrera 9A. no. 107 - 09;4,687620000;4;41;15,43;-74,038900000;-74;2;20,04;25;280;6;Oriente
111;GSM;BOG.Nogal_1;Carrera 12A No. 77 - 41;4,662880000;4;39;46,37;-74,057000000;-74;3;25,20;33;0;8;Oriente
112;GSM;BOG.Nogal_2;Carrera 12A No. 77 - 41;4,662880000;4;39;46,37;-74,057000000;-74;3;25,20;33;120;8;Oriente
113;GSM;BOG.Nogal_3;Carrera 12A No. 77 - 41;4,662880000;4;39;46,37;-74,057000000;-74;3;25,20;33;240;11;Oriente
114;GSM;BOG.Nogal_A;Carrera 12A No. 77 - 41;4,662880000;4;39;46,37;-74,057000000;-74;3;25,20;33;0;7;Oriente
115;GSM;BOG.Nogal_B;Carrera 12A No. 77 - 41;4,662880000;4;39;46,37;-74,057000000;-74;3;25,20;33;120;7;Oriente
116;GSM;BOG.Nogal_C;Carrera 12A No. 77 - 41;4,662880000;4;39;46,37;-74,057000000;-74;3;25,20;33;240;10;Oriente
121;GSM;BOG.Las Villas_1;Carrera 47 No. 128C - 08;4,715640000;4;42;56,30;-74,063600000;-74;3;48,96;10;0;5;Oriente
122;GSM;BOG.Las Villas_2;Carrera 47 No. 128C - 08;4,715640000;4;42;56,30;-74,063600000;-74;3;48,96;10;120;5;Oriente
123;GSM;BOG.Las Villas_3;Carrera 47 No. 128C - 08;4,715640000;4;42;56,30;-74,063600000;-74;3;48,96;10;240;5;Oriente
124;GSM;BOG.Las Villas_A;Carrera 47 No. 128C - 08;4,715640000;4;42;56,30;-74,063600000;-74;3;48,96;10;0;2;Oriente
125;GSM;BOG.Las Villas_B;Carrera 47 No. 128C - 08;4,715640000;4;42;56,30;-74,063600000;-74;3;48,96;10;120;2;Oriente
126;GSM;BOG.Las Villas_C;Carrera 47 No. 128C - 08;4,715640000;4;42;56,30;-74,063600000;-74;3;48,96;10;240;2;Oriente
131;GSM;BOG.Chico_1;Carrera 16 No. 94 - 14;4,680840000;4;40;51,02;-74,050890000;-74;3;3,20;30;15;11;Oriente
132;GSM;BOG.Chico_2;Carrera 16 No. 94 - 14;4,680840000;4;40;51,02;-74,050890000;-74;3;3,20;30;145;12;Oriente
133;GSM;BOG.Chico_3;Carrera 16 No. 94 - 14;4,680840000;4;40;51,02;-74,050890000;-74;3;3,20;30;255;10;Oriente
134;GSM;BOG.Chico_A;Carrera 16 No. 94 - 14;4,680840000;4;40;51,02;-74,050890000;-74;3;3,20;30;15;13;Oriente
135;GSM;BOG.Chico_B;Carrera 16 No. 94 - 14;4,680840000;4;40;51,02;-74,050890000;-74;3;3,20;30;145;14;Oriente
136;GSM;BOG.Chico_C;Carrera 16 No. 94 - 14;4,680840000;4;40;51,02;-74,050890000;-74;3;3,20;30;255;8;Oriente
141;GSM;BOG.Alborada_1;Calle. 98 No. 50 - 37;4,691500000;4;41;29,40;-74,076900000;-74;4;36,84;22;10;6;Oriente
142;GSM;BOG.Alborada_2;Calle. 98 No. 50 - 37;4,691500000;4;41;29,40;-74,076900000;-74;4;36,84;22;120;6;Oriente
143;GSM;BOG.Alborada_3;Calle. 98 No. 50 - 37;4,691500000;4;41;29,40;-74,076900000;-74;4;36,84;30;240;9;Oriente
144;GSM;BOG.Alborada_A;Calle. 98 No. 50 - 37;4,691500000;4;41;29,40;-74,076900000;-74;4;36,84;22;10;5;Oriente
145;GSM;BOG.Alborada_B;Calle. 98 No. 50 - 37;4,691500000;4;41;29,40;-74,076900000;-74;4;36,84;22;120;6;Oriente
146;GSM;BOG.Alborada_C;Calle. 98 No. 50 - 37;4,691500000;4;41;29,40;-74,076900000;-74;4;36,84;30;240;8;Oriente
151;GSM;BOG.Zelandia_1;Calle 191 No. 49A - 09;4,758390000;4;45;30,20;-74,048020000;-74;2;52,87;19;40;7;Oriente
152;GSM;BOG.Zelandia_2;Calle 191 No. 49A - 09;4,758390000;4;45;30,20;-74,048020000;-74;2;52,87;19;120;6;Oriente
153;GSM;BOG.Zelandia_3;Calle 191 No. 49A - 09;4,758390000;4;45;30,20;-74,048020000;-74;2;52,87;19;260;6;Oriente
154;GSM;BOG.Zelandia_A;Calle 191 No. 49A - 09;4,758390000;4;45;30,20;-74,048020000;-74;2;52,87;28;40;5;Oriente
155;GSM;BOG.Zelandia_B;Calle 191 No. 49A - 09;4,758390000;4;45;30,20;-74,048020000;-74;2;52,87;28;120;4;Oriente
156;GSM;BOG.Zelandia_C;Calle 191 No. 49A - 09;4,758390000;4;45;30,20;-74,048020000;-74;2;52,87;28;260;4;Oriente
161;GSM;BOG.Ginebra-1_1;Transversal 10A No. 130 - 66;4,706975000;4;42;25,11;-74,031808000;-74;1;54,51;5;12;7;Oriente
