CID;Tipo;BTS Name;Direccion;Latitud;Gra;Min;Seg;Longitud;Gra;Min;Seg;Altura;Vector;Tilt;Region
3155;GSM;BOG.Barrancas_B;Carrera 18 No. 159 - 54;4,735210000;4;44;6,76;-74,027490000;-74;1;38,96;21;120;4;Oriente
3156;GSM;BOG.Barrancas_C;Carrera 18 No. 159 - 54;4,735210000;4;44;6,76;-74,027490000;-74;1;38,96;21;250;6;Oriente
3161;GSM;BOG.Bohios_1;Carrera 110 No. 25 A - 31;4,681170000;4;40;52,21;-74,149200000;-74;8;57,12;30;30;9;Oriente
3162;GSM;BOG.Bohios_2;Carrera 110 No. 25 A - 31;4,681170000;4;40;52,21;-74,149200000;-74;8;57,12;30;170;9;Oriente
3163;GSM;BOG.Bohios_3;Carrera 110 No. 25 A - 31;4,681170000;4;40;52,21;-74,149200000;-74;8;57,12;30;280;11;Oriente
3164;GSM;BOG.Bohios_A;Carrera 110 No. 25 A - 31;4,681170000;4;40;52,21;-74,149200000;-74;8;57,12;30;30;7;Oriente
3165;GSM;BOG.Bohios_B;Carrera 110 No. 25 A - 31;4,681170000;4;40;52,21;-74,149200000;-74;8;57,12;30;170;7;Oriente
3166;GSM;BOG.Bohios_C;Carrera 110 No. 25 A - 31;4,681170000;4;40;52,21;-74,149200000;-74;8;57,12;30;280;9;Oriente
3171;GSM;BOG.Valladolid_1;Carrera 81 A No. 8 B - 25;4,644800000;4;38;41,28;-74,146600000;-74;8;47,76;35;350;10;Oriente
3172;GSM;BOG.Valladolid_2;Carrera 81 A No. 8 B - 25;4,644800000;4;38;41,28;-74,146600000;-74;8;47,76;35;90;9;Oriente
3173;GSM;BOG.Valladolid_3;Carrera 81 A No. 8 B - 25;4,644800000;4;38;41,28;-74,146600000;-74;8;47,76;35;290;9;Oriente
3174;GSM;BOG.Valladolid_A;Carrera 81 A No. 8 B - 25;4,644800000;4;38;41,28;-74,146600000;-74;8;47,76;35;350;7;Oriente
3175;GSM;BOG.Valladolid_B;Carrera 81 A No. 8 B - 25;4,644800000;4;38;41,28;-74,146600000;-74;8;47,76;35;90;8;Oriente
3176;GSM;BOG.Valladolid_C;Carrera 81 A No. 8 B - 25;4,644800000;4;38;41,28;-74,146600000;-74;8;47,76;35;290;8;Oriente
3181;GSM;BOG.Veracruz_1;(Antigua);4,678210000;4;40;41,56;-74,136200000;-74;8;10,32;35;70;8;Oriente
3182;GSM;BOG.Veracruz_2;(Antigua);4,678210000;4;40;41,56;-74,136200000;-74;8;10,32;35;135;10;Oriente
3183;GSM;BOG.Veracruz_3;(Antigua);4,678210000;4;40;41,56;-74,136200000;-74;8;10,32;35;320;7;Oriente
3184;GSM;BOG.Veracruz_A;(Antigua);4,678210000;4;40;41,56;-74,136200000;-74;8;10,32;35;70;8;Oriente
3185;GSM;BOG.Veracruz_B;(Antigua);4,678210000;4;40;41,56;-74,136200000;-74;8;10,32;35;220;8;Oriente
3186;GSM;BOG.Veracruz_C;(Antigua);4,678210000;4;40;41,56;-74,136200000;-74;8;10,32;35;320;5;Oriente
3201;GSM;BOG.Centro Internacional_1;Carrera 10 24 - 76;4,611330000;4;36;40,79;-74,070960000;-74;4;15,46;56;20;13;Oriente
3202;GSM;BOG.Centro Internacional_2;Carrera 10 24 - 76;4,611330000;4;36;40,79;-74,070960000;-74;4;15,46;56;80;11;Oriente
3203;GSM;BOG.Centro Internacional_3;Carrera 10 24 - 76;4,611330000;4;36;40,79;-74,070960000;-74;4;15,46;60;235;17;Oriente
3204;GSM;BOG.Centro Internacional_A;Carrera 10 24 - 76;4,611330000;4;36;40,79;-74,070960000;-74;4;15,46;31;20;12;Oriente
3205;GSM;BOG.Centro Internacional_B;Carrera 10 24 - 76;4,611330000;4;36;40,79;-74,070960000;-74;4;15,46;31;80;10;Oriente
3206;GSM;BOG.Centro Internacional_C;Carrera 10 24 - 76;4,611330000;4;36;40,79;-74,070960000;-74;4;15,46;31;235;16;Oriente
3207;GSM;BOG.Centro Internacional_D;Carrera 10 24 - 76;4,611330000;4;36;40,79;-74,070960000;-74;4;15,46;60;90;0;Oriente
3211;GSM;BOG.Corferias_A;Corferias;4,630470000;4;37;49,69;-74,091510000;-74;5;29,44;10;285;7;Oriente
3221;GSM;BOG.Politecnico_A;Calle 57 No. 3 - 00E;4,637330000;4;38;14,39;-74,055920000;-74;3;21,31;30;150;5;Oriente
3231;GSM;BOG.Granahorrar-2_1;Calle 73 No. 13 - 23;4,659770000;4;39;35,17;-74,059800000;-74;3;35,28;17;140;5;Oriente
3241;GSM;BOG.Emaus-2_1;Carrera 2 No. 65 - 33;4,647220000;4;38;49,99;-74,055560000;-74;3;20,02;20;60;5;Oriente
3242;GSM;BOG.Emaus-2_2;Carrera 2 No. 65 - 33;4,647220000;4;38;49,99;-74,055560000;-74;3;20,02;20;160;6;Oriente
3243;GSM;BOG.Emaus-2_3;Carrera 2 No. 65 - 33;4,647220000;4;38;49,99;-74,055560000;-74;3;20,02;15;270;4;Oriente
3244;GSM;BOG.Emaus-2_A;Carrera 2 No. 65 - 33;4,647220000;4;38;49,99;-74,055560000;-74;3;20,02;20;60;4;Oriente
3245;GSM;BOG.Emaus-2_B;Carrera 2 No. 65 - 33;4,647220000;4;38;49,99;-74,055560000;-74;3;20,02;20;160;5;Oriente
3246;GSM;BOG.Emaus-2_C;Carrera 2 No. 65 - 33;4,647220000;4;38;49,99;-74,055560000;-74;3;20,02;15;270;3;Oriente
3261;GSM;BOG.Cac 74_1;Calle 75 No. 7 - 21, Edificio de Avantel;4,657810000;4;39;28,12;-74,054200000;-74;3;15,12;12;75;5;Oriente
3262;GSM;BOG.Cac 74_2;Calle 75 No. 7 - 21, Edificio de Avantel;4,657810000;4;39;28,12;-74,054200000;-74;3;15,12;12;175;7;Oriente
3263;GSM;BOG.Cac 74_3;Calle 75 No. 7 - 21, Edificio de Avantel;4,657810000;4;39;28,12;-74,054200000;-74;3;15,12;12;335;8;Oriente
3264;GSM;BOG.Cac 74_A;Calle 75 No. 7 - 21, Edificio de Avantel;4,657810000;4;39;28,12;-74,054200000;-74;3;15,12;12;75;4;Oriente
3265;GSM;BOG.Cac 74_B;Calle 75 No. 7 - 21, Edificio de Avantel;4,657810000;4;39;28,12;-74,054200000;-74;3;15,12;12;175;5;Oriente
3266;GSM;BOG.Cac 74_C;Calle 75 No. 7 - 21, Edificio de Avantel;4,657810000;4;39;28,12;-74,054200000;-74;3;15,12;12;335;5;Oriente
3271;GSM;BOG.La Nacional-2_1;Carrera 27No. 45A - 09;4,635020000;4;38;6,07;-74,077480000;-74;4;38,93;27;0;7;Oriente
3272;GSM;BOG.La Nacional-2_2;Carrera 27No. 45A - 09;4,635020000;4;38;6,07;-74,077480000;-74;4;38,93;25;100;7;Oriente
3273;GSM;BOG.La Nacional-2_3;Carrera 27No. 45A - 09;4,635020000;4;38;6,07;-74,077480000;-74;4;38,93;27;280;7;Oriente
3274;GSM;BOG.La Nacional-2_A;Carrera 27No. 45A - 09;4,635020000;4;38;6,07;-74,077480000;-74;4;38,93;27;0;6;Oriente
3275;GSM;BOG.La Nacional-2_B;Carrera 27No. 45A - 09;4,635020000;4;38;6,07;-74,077480000;-74;4;38,93;25;100;6;Oriente
3276;GSM;BOG.La Nacional-2_C;Carrera 27No. 45A - 09;4,635020000;4;38;6,07;-74,077480000;-74;4;38,93;27;280;6;Oriente
3281;GSM;BOG.Lourdes_1;Calle 63 No.11 - 40;4,650050000;4;39;0,18;-74,063210000;-74;3;47,56;4;225;5;Oriente
3291;GSM;BOG.Sultana_1;Carrera 52 - Calle 129;4,717900000;4;43;4,44;-74,068720000;-74;4;7,39;11;12;7;Oriente
3292;GSM;BOG.Sultana_2;Carrera 52 - Calle 129;4,717900000;4;43;4,44;-74,068720000;-74;4;7,39;11;88;5;Oriente
3293;GSM;BOG.Sultana_3;Carrera 52 - Calle 129;4,717900000;4;43;4,44;-74,068720000;-74;4;7,39;11;240;6;Oriente
3294;GSM;BOG.Sultana_A;Carrera 52 - Calle 129;4,717900000;4;43;4,44;-74,068720000;-74;4;7,39;11;12;5;Oriente
3295;GSM;BOG.Sultana_B;Carrera 52 - Calle 129;4,717900000;4;43;4,44;-74,068720000;-74;4;7,39;11;88;2;Oriente
3296;GSM;BOG.Sultana_C;Carrera 52 - Calle 129;4,717900000;4;43;4,44;-74,068720000;-74;4;7,39;11;240;4;Oriente
3301;GSM;BOG.Paris Gaitan_1;Calle 89 No. 81 A - 65 Antigua, No. 76 B - 15 Nueva;4,704260000;4;42;15,34;-74,090200000;-74;5;24,72;28;350;7;Oriente
3302;GSM;BOG.Paris Gaitan_2;Calle 89 No. 81 A - 65 Antigua, No. 76 B - 15 Nueva;4,704260000;4;42;15,34;-74,090200000;-74;5;24,72;28;155;7;Oriente
3303;GSM;BOG.Paris Gaitan_3;Calle 89 No. 81 A - 65 Antigua, No. 76 B - 15 Nueva;4,704260000;4;42;15,34;-74,090200000;-74;5;24,72;28;250;7;Oriente
3304;GSM;BOG.Paris Gaitan_A;Calle 89 No. 81 A - 65 Antigua, No. 76 B - 15 Nueva;4,704260000;4;42;15,34;-74,090200000;-74;5;24,72;28;350;5;Oriente
3305;GSM;BOG.Paris Gaitan_B;Calle 89 No. 81 A - 65 Antigua, No. 76 B - 15 Nueva;4,704260000;4;42;15,34;-74,090200000;-74;5;24,72;28;155;5;Oriente
3306;GSM;BOG.Paris Gaitan_C;Calle 89 No. 81 A - 65 Antigua, No. 76 B - 15 Nueva;4,704260000;4;42;15,34;-74,090200000;-74;5;24,72;28;250;5;Oriente
3311;GSM;BOG.Luis Carlos Galan_1;Carrera 94G No. 90 - 52;4,714360000;4;42;51,70;-74,098300000;-74;5;53,88;31;70;7;Oriente
3312;GSM;BOG.Luis Carlos Galan_2;Carrera 94G No. 90 - 52;4,714360000;4;42;51,70;-74,098300000;-74;5;53,88;31;150;7;Oriente
3313;GSM;BOG.Luis Carlos Galan_3;Carrera 94G No. 90 - 52;4,714360000;4;42;51,70;-74,098300000;-74;5;53,88;31;290;7;Oriente
3314;GSM;BOG.Luis Carlos Galan_A;Carrera 94G No. 90 - 52;4,714360000;4;42;51,70;-74,098300000;-74;5;53,88;31;70;6;Oriente
3315;GSM;BOG.Luis Carlos Galan_B;Carrera 94G No. 90 - 52;4,714360000;4;42;51,70;-74,098300000;-74;5;53,88;31;150;6;Oriente
3316;GSM;BOG.Luis Carlos Galan_C;Carrera 94G No. 90 - 52;4,714360000;4;42;51,70;-74,098300000;-74;5;53,88;31;290;6;Oriente
3317;GSM;BOG.Luis Carlos Galan_4;Carrera 94G No. 90 - 52;4,714360000;4;42;51,70;-74,098300000;-74;5;53,88;31;50;-6;Oriente
3318;GSM;BOG.Luis Carlos Galan_D;Carrera 94G No. 90 - 52;4,714360000;4;42;51,70;-74,098300000;-74;5;53,88;31;50;-6;Oriente
3321;GSM;BOG.Contador_1;Carrera 17A No. 139 - 46;4,721830000;4;43;18,59;-74,044080000;-74;2;38,69;20;10;5;Oriente
3322;GSM;BOG.Contador_2;Carrera 17A No. 139 - 46;4,721830000;4;43;18,59;-74,044080000;-74;2;38,69;20;100;5;Oriente
3323;GSM;BOG.Contador_3;Carrera 17A No. 139 - 46;4,721830000;4;43;18,59;-74,044080000;-74;2;38,69;20;158;7;Oriente
3324;GSM;BOG.Contador_A;Carrera 17A No. 139 - 46;4,721830000;4;43;18,59;-74,044080000;-74;2;38,69;25;10;2;Oriente
3325;GSM;BOG.Contador_B;Carrera 17A No. 139 - 46;4,721830000;4;43;18,59;-74,044080000;-74;2;38,69;20;100;2;Oriente
3326;GSM;BOG.Contador_C;Carrera 17A No. 139 - 46;4,721830000;4;43;18,59;-74,044080000;-74;2;38,69;20;158;5;Oriente
3331;GSM;BOG.Brasil_1;Sur No. 87A - 45 Dirección Nueva;4,629410000;4;37;45,88;-74,178200000;-74;10;41,52;30;25;7;Oriente
3332;GSM;BOG.Brasil_2;Sur No. 87A - 45 Dirección Nueva;4,629410000;4;37;45,88;-74,178200000;-74;10;41,52;30;150;8;Oriente
3333;GSM;BOG.Brasil_3;Sur No. 87A - 45 Dirección Nueva;4,629410000;4;37;45,88;-74,178200000;-74;10;41,52;30;280;10;Oriente
3334;GSM;BOG.Brasil_A;Sur No. 87A - 45 Dirección Nueva;4,629410000;4;37;45,88;-74,178200000;-74;10;41,52;30;25;5;Oriente
3335;GSM;BOG.Brasil_B;Sur No. 87A - 45 Dirección Nueva;4,629410000;4;37;45,88;-74,178200000;-74;10;41,52;30;150;6;Oriente
3336;GSM;BOG.Brasil_C;Sur No. 87A - 45 Dirección Nueva;4,629410000;4;37;45,88;-74,178200000;-74;10;41,52;30;280;8;Oriente
3341;GSM;BOG.Pastrana_1;Carrera 79g Bis 43-57 - Edificio Durocolor;4,620500000;4;37;13,80;-74,166500000;-74;9;59,40;21;60;7;Oriente
3342;GSM;BOG.Pastrana_2;Carrera 79g Bis 43-57 - Edificio Durocolor;4,620500000;4;37;13,80;-74,166500000;-74;9;59,40;21;170;7;Oriente
3343;GSM;BOG.Pastrana_3;Carrera 79g Bis 43-57 - Edificio Durocolor;4,620500000;4;37;13,80;-74,166500000;-74;9;59,40;21;260;7;Oriente
3344;GSM;BOG.Pastrana_A;Carrera 79g Bis 43-57 - Edificio Durocolor;4,620500000;4;37;13,80;-74,166500000;-74;9;59,40;21;60;5;Oriente
3345;GSM;BOG.Pastrana_B;Carrera 79g Bis 43-57 - Edificio Durocolor;4,620500000;4;37;13,80;-74,166500000;-74;9;59,40;21;170;5;Oriente
3346;GSM;BOG.Pastrana_C;Carrera 79g Bis 43-57 - Edificio Durocolor;4,620500000;4;37;13,80;-74,166500000;-74;9;59,40;21;260;5;Oriente
3351;GSM;BOG.Country Club_1;Zona el Buque - Country Club;4,709361000;4;42;33,70;-74,044005000;-74;2;38,42;18;60;4;Oriente
3352;GSM;BOG.Country Club_2;Zona el Buque - Country Club;4,709361000;4;42;33,70;-74,044005000;-74;2;38,42;18;180;6;Oriente
3353;GSM;BOG.Country Club_3;Zona el Buque - Country Club;4,709361000;4;42;33,70;-74,044005000;-74;2;38,42;15;300;6;Oriente
3354;GSM;BOG.Country Club_A;Zona el Buque - Country Club;4,709361000;4;42;33,70;-74,044005000;-74;2;38,42;18;60;4;Oriente
3355;GSM;BOG.Country Club_B;Zona el Buque - Country Club;4,709361000;4;42;33,70;-74,044005000;-74;2;38,42;18;180;6;Oriente
3356;GSM;BOG.Country Club_C;Zona el Buque - Country Club;4,709361000;4;42;33,70;-74,044005000;-74;2;38,42;15;300;6;Oriente
3361;GSM;BOG.Sta Librada_1;82 Sur;4,516670000;4;31;0,01;-74,117520000;-74;7;3,07;28;30;7;Oriente
3362;GSM;BOG.Sta Librada_2;82 Sur;4,516670000;4;31;0,01;-74,117520000;-74;7;3,07;35;140;7;Oriente
3363;GSM;BOG.Sta Librada_3;82 Sur;4,516670000;4;31;0,01;-74,117520000;-74;7;3,07;35;240;7;Oriente
3364;GSM;BOG.Sta Librada_A;82 Sur;4,516670000;4;31;0,01;-74,117520000;-74;7;3,07;28;30;6;Oriente
3365;GSM;BOG.Sta Librada_B;82 Sur;4,516670000;4;31;0,01;-74,117520000;-74;7;3,07;35;140;5;Oriente
3366;GSM;BOG.Sta Librada_C;82 Sur;4,516670000;4;31;0,01;-74,117520000;-74;7;3,07;35;240;6;Oriente
3371;GSM;BOG.Aranda_1;Calle 16 No. 50 - 21;4,629620000;4;37;46,63;-74,105900000;-74;6;21,24;15;0;6;Oriente
3372;GSM;BOG.Aranda_2;Calle 16 No. 50 - 21;4,629620000;4;37;46,63;-74,105900000;-74;6;21,24;18;135;7;Oriente
3373;GSM;BOG.Aranda_3;Calle 16 No. 50 - 21;4,629620000;4;37;46,63;-74,105900000;-74;6;21,24;15;240;5;Oriente
3374;GSM;BOG.Aranda_A;Calle 16 No. 50 - 21;4,629620000;4;37;46,63;-74,105900000;-74;6;21,24;15;0;3;Oriente
3375;GSM;BOG.Aranda_B;Calle 16 No. 50 - 21;4,629620000;4;37;46,63;-74,105900000;-74;6;21,24;18;135;5;Oriente
3376;GSM;BOG.Aranda_C;Calle 16 No. 50 - 21;4,629620000;4;37;46,63;-74,105900000;-74;6;21,24;15;240;4;Oriente
3381;GSM;BOG.Alamos-2_1;Calle 72 A No. 101 - 12;4,704960000;4;42;17,86;-74,117000000;-74;7;1,20;36;330;9;Oriente
3382;GSM;BOG.Alamos-2_2;Calle 72 A No. 101 - 12;4,704960000;4;42;17,86;-74,117000000;-74;7;1,20;36;120;7;Oriente
3383;GSM;BOG.Alamos-2_3;Calle 72 A No. 101 - 12;4,704960000;4;42;17,86;-74,117000000;-74;7;1,20;36;205;13;Oriente
3384;GSM;BOG.Alamos-2_A;Calle 72 A No. 101 - 12;4,704960000;4;42;17,86;-74,117000000;-74;7;1,20;36;330;7;Oriente
3385;GSM;BOG.Alamos-2_B;Calle 72 A No. 101 - 12;4,704960000;4;42;17,86;-74,117000000;-74;7;1,20;36;120;5;Oriente
3386;GSM;BOG.Alamos-2_C;Calle 72 A No. 101 - 12;4,704960000;4;42;17,86;-74,117000000;-74;7;1,20;36;205;11;Oriente
3391;GSM;SOA.San Mateo-2_1;Carrera 2 ESTE No. 18 - 32 Sur SAN MATEO;4,577730000;4;34;39,83;-74,211330000;-74;12;40,79;37;40;7;Oriente
3392;GSM;SOA.San Mateo-2_2;Carrera 2 ESTE No. 18 - 32 Sur SAN MATEO;4,577730000;4;34;39,83;-74,211330000;-74;12;40,79;37;75;5;Oriente
3393;GSM;SOA.San Mateo-2_3;Carrera 2 ESTE No. 18 - 32 Sur SAN MATEO;4,577730000;4;34;39,83;-74,211330000;-74;12;40,79;37;295;7;Oriente
3394;GSM;SOA.San Mateo-2_A;Carrera 2 ESTE No. 18 - 32 Sur SAN MATEO;4,577730000;4;34;39,83;-74,211330000;-74;12;40,79;37;40;4;Oriente
3395;GSM;SOA.San Mateo-2_B;Carrera 2 ESTE No. 18 - 32 Sur SAN MATEO;4,577730000;4;34;39,83;-74,211330000;-74;12;40,79;37;75;2;Oriente
3396;GSM;SOA.San Mateo-2_C;Carrera 2 ESTE No. 18 - 32 Sur SAN MATEO;4,577730000;4;34;39,83;-74,211330000;-74;12;40,79;37;295;4;Oriente
3401;GSM;BOG.Los Olivos_1;Carrera 80 J No. 73 - 32 SUR;4,608010000;4;36;28,84;-74,198400000;-74;11;54,24;31;330;7;Oriente
3402;GSM;BOG.Los Olivos_2;Carrera 80 J No. 73 - 32 SUR;4,608010000;4;36;28,84;-74,198400000;-74;11;54,24;31;110;7;Oriente
3403;GSM;BOG.Los Olivos_3;Carrera 80 J No. 73 - 32 SUR;4,608010000;4;36;28,84;-74,198400000;-74;11;54,24;36;240;7;Oriente
3404;GSM;BOG.Los Olivos_A;Carrera 80 J No. 73 - 32 SUR;4,608010000;4;36;28,84;-74,198400000;-74;11;54,24;31;330;5;Oriente
3405;GSM;BOG.Los Olivos_B;Carrera 80 J No. 73 - 32 SUR;4,608010000;4;36;28,84;-74,198400000;-74;11;54,24;31;110;5;Oriente
3406;GSM;BOG.Los Olivos_C;Carrera 80 J No. 73 - 32 SUR;4,608010000;4;36;28,84;-74,198400000;-74;11;54,24;36;240;5;Oriente
3411;GSM;BOG.Francisco Jose_1;Carrera 79 G No. 36 - 80 Sur;4,627950000;4;37;40,62;-74,156700000;-74;9;24,12;26;320;9;Oriente
3412;GSM;BOG.Francisco Jose_2;Carrera 79 G No. 36 - 80 Sur;4,627950000;4;37;40,62;-74,156700000;-74;9;24,12;26;110;8;Oriente
3413;GSM;BOG.Francisco Jose_3;Carrera 79 G No. 36 - 80 Sur;4,627950000;4;37;40,62;-74,156700000;-74;9;24,12;26;230;7;Oriente
3414;GSM;BOG.Francisco Jose_A;Carrera 79 G No. 36 - 80 Sur;4,627950000;4;37;40,62;-74,156700000;-74;9;24,12;26;320;7;Oriente
3415;GSM;BOG.Francisco Jose_B;Carrera 79 G No. 36 - 80 Sur;4,627950000;4;37;40,62;-74,156700000;-74;9;24,12;26;110;6;Oriente
3416;GSM;BOG.Francisco Jose_C;Carrera 79 G No. 36 - 80 Sur;4,627950000;4;37;40,62;-74,156700000;-74;9;24,12;26;230;5;Oriente
3421;GSM;BOG.La Unidad_1;Calle 58 Sur No. 78 K - 24;4,608160000;4;36;29,38;-74,175600000;-74;10;32,16;30;70;9;Oriente
3422;GSM;BOG.La Unidad_2;Calle 58 Sur No. 78 K - 24;4,608160000;4;36;29,38;-74,175600000;-74;10;32,16;30;150;9;Oriente
3423;GSM;BOG.La Unidad_3;Calle 58 Sur No. 78 K - 24;4,608160000;4;36;29,38;-74,175600000;-74;10;32,16;32;330;8;Oriente
3424;GSM;BOG.La Unidad_A;Calle 58 Sur No. 78 K - 24;4,608160000;4;36;29,38;-74,175600000;-74;10;32,16;30;70;8;Oriente
3425;GSM;BOG.La Unidad_B;Calle 58 Sur No. 78 K - 24;4,608160000;4;36;29,38;-74,175600000;-74;10;32,16;30;150;8;Oriente
3426;GSM;BOG.La Unidad_C;Calle 58 Sur No. 78 K - 24;4,608160000;4;36;29,38;-74,175600000;-74;10;32,16;30;330;7;Oriente
3441;GSM;BOG.Fontibon HB_1;Carrera 129 No. 29 - 57Complejo Industrial de occidente;4,696140000;4;41;46,10;-74,159000000;-74;9;32,40;15;50;1;Oriente
3442;GSM;BOG.Fontibon HB_2;Carrera 129 No. 29 - 57Complejo Industrial de occidente;4,696140000;4;41;46,10;-74,159000000;-74;9;32,40;15;200;3;Oriente
3443;GSM;BOG.Fontibon HB_3;Carrera 129 No. 29 - 57Complejo Industrial de occidente;4,696140000;4;41;46,10;-74,159000000;-74;9;32,40;15;300;3;Oriente
3444;GSM;BOG.Fontibon HB_A;Carrera 129 No. 29 - 57Complejo Industrial de occidente;4,696140000;4;41;46,10;-74,159000000;-74;9;32,40;15;50;1;Oriente
3445;GSM;BOG.Fontibon HB_B;Carrera 129 No. 29 - 57Complejo Industrial de occidente;4,696140000;4;41;46,10;-74,159000000;-74;9;32,40;15;200;3;Oriente
3446;GSM;BOG.Fontibon HB_C;Carrera 129 No. 29 - 57Complejo Industrial de occidente;4,696140000;4;41;46,10;-74,159000000;-74;9;32,40;15;300;3;Oriente
3454;GSM;BOG.Plaza Americas-2_A;Sur;4,619190000;4;37;9,08;-74,135400000;-74;8;7,44;17;180;16;Oriente
3461;GSM;BOG.Arborizadora_1;Carrera 48 No. 59C - 66 Sur;4,576710000;4;34;36,16;-74,154600000;-74;9;16,56;11;230;5;Oriente
3462;GSM;BOG.Arborizadora_2;Carrera 48 No. 59C - 66 Sur;4,576710000;4;34;36,16;-74,154600000;-74;9;16,56;11;305;6;Oriente
3464;GSM;BOG.Arborizadora_A;Carrera 48 No. 59C - 66 Sur;4,576710000;4;34;36,16;-74,154600000;-74;9;16,56;11;230;0;Oriente
3465;GSM;BOG.Arborizadora_B;Carrera 48 No. 59C - 66 Sur;4,576710000;4;34;36,16;-74,154600000;-74;9;16,56;11;305;2;Oriente
3471;GSM;BOG.Almendros_1;Calle 42 Sur No. 92 - 15;4,642110000;4;38;31,60;-74,173400000;-74;10;24,24;35;325;7;Oriente
3472;GSM;BOG.Almendros_2;Calle 42 Sur No. 92 - 15;4,642110000;4;38;31,60;-74,173400000;-74;10;24,24;25;160;10;Oriente
3473;GSM;BOG.Almendros_3;Calle 42 Sur No. 92 - 15;4,642110000;4;38;31,60;-74,173400000;-74;10;24,24;35;220;9;Oriente
3474;GSM;BOG.Almendros_A;Calle 42 Sur No. 92 - 15;4,642110000;4;38;31,60;-74,173400000;-74;10;24,24;35;325;4;Oriente
3475;GSM;BOG.Almendros_B;Calle 42 Sur No. 92 - 15;4,642110000;4;38;31,60;-74,173400000;-74;10;24,24;25;160;7;Oriente
3476;GSM;BOG.Almendros_C;Calle 42 Sur No. 92 - 15;4,642110000;4;38;31,60;-74,173400000;-74;10;24,24;35;310;4;Oriente
3477;GSM;BOG.Almendros_4;Calle 42 Sur No. 92 - 15;4,642110000;4;38;31,60;-74,173400000;-74;10;24,24;35;290;7;Oriente
3478;GSM;BOG.Almendros_D;Calle 42 Sur No. 92 - 15;4,642110000;4;38;31,60;-74,173400000;-74;10;24,24;35;290;5;Oriente
3481;GSM;BOG.Bosa Libertadores_1;Carrera 81 Calle 58K Sur;4,613000000;4;36;46,80;-74,182200000;-74;10;55,92;31;20;7;Oriente
3482;GSM;BOG.Bosa Libertadores_2;Carrera 81 Calle 58K Sur;4,613000000;4;36;46,80;-74,182200000;-74;10;55,92;31;135;9;Oriente
3483;GSM;BOG.Bosa Libertadores_3;Carrera 81 Calle 58K Sur;4,613000000;4;36;46,80;-74,182200000;-74;10;55,92;31;250;9;Oriente
3484;GSM;BOG.Bosa Libertadores_A;Carrera 81 Calle 58K Sur;4,613000000;4;36;46,80;-74,182200000;-74;10;55,92;31;20;4;Oriente
3485;GSM;BOG.Bosa Libertadores_B;Carrera 81 Calle 58K Sur;4,613000000;4;36;46,80;-74,182200000;-74;10;55,92;31;135;6;Oriente
3486;GSM;BOG.Bosa Libertadores_C;Carrera 81 Calle 58K Sur;4,613000000;4;36;46,80;-74,182200000;-74;10;55,92;31;250;6;Oriente
3491;GSM;BOG.Maria Paz_1;No. 34 A - 58 Sur;4,634290000;4;38;3,44;-74,158900000;-74;9;32,04;35;10;11;Oriente
3492;GSM;BOG.Maria Paz_2;No. 34 A - 58 Sur;4,634290000;4;38;3,44;-74,158900000;-74;9;32,04;35;130;12;Oriente
3493;GSM;BOG.Maria Paz_3;No. 34 A - 58 Sur;4,634290000;4;38;3,44;-74,158900000;-74;9;32,04;35;230;10;Oriente
3494;GSM;BOG.Maria Paz_A;No. 34 A - 58 Sur;4,634290000;4;38;3,44;-74,158900000;-74;9;32,04;35;10;8;Oriente
3495;GSM;BOG.Maria Paz_B;No. 34 A - 58 Sur;4,634290000;4;38;3,44;-74,158900000;-74;9;32,04;35;130;9;Oriente
3496;GSM;BOG.Maria Paz_C;No. 34 A - 58 Sur;4,634290000;4;38;3,44;-74,158900000;-74;9;32,04;35;230;7;Oriente
3501;GSM;BOG.Colsubsidio 63_1;Carrera 24 No. 62-50;4,650800000;4;39;2,88;-74,072270000;-74;4;20,17;4;355;4;Oriente
3511;GSM;BOG.Antonio Granados_1;Carrera 101B No. 139-73;4,740970000;4;44;27,49;-74,094010000;-74;5;38,44;24;30;6;Oriente
3512;GSM;BOG.Antonio Granados_2;Carrera 101B No. 139-73;4,740970000;4;44;27,49;-74,094010000;-74;5;38,44;24;115;7;Oriente
3513;GSM;BOG.Antonio Granados_3;Carrera 101B No. 139-73;4,740970000;4;44;27,49;-74,094010000;-74;5;38,44;24;245;7;Oriente
3514;GSM;BOG.Antonio Granados_A;Carrera 101B No. 139-73;4,740970000;4;44;27,49;-74,094010000;-74;5;38,44;24;30;3;Oriente
3515;GSM;BOG.Antonio Granados_B;Carrera 101B No. 139-73;4,740970000;4;44;27,49;-74,094010000;-74;5;38,44;24;115;5;Oriente
3516;GSM;BOG.Antonio Granados_C;Carrera 101B No. 139-73;4,740970000;4;44;27,49;-74,094010000;-74;5;38,44;24;245;5;Oriente
3521;GSM;BOG.La Manuelita_1;Calle 128 No. 89A - 34;4,722430000;4;43;20,75;-74,088920000;-74;5;20,11;24;2;5;Oriente
3522;GSM;BOG.La Manuelita_2;Calle 128 No. 89A - 34;4,722430000;4;43;20,75;-74,088920000;-74;5;20,11;24;145;-2;Oriente
3523;GSM;BOG.La Manuelita_3;Calle 128 No. 89A - 34;4,722430000;4;43;20,75;-74,088920000;-74;5;20,11;24;264;6;Oriente
3524;GSM;BOG.La Manuelita_A;Calle 128 No. 89A - 34;4,722430000;4;43;20,75;-74,088920000;-74;5;20,11;24;2;2;Oriente
